text                                                 , label
Your bank account is blocked share OTP immediately   ,     1
Police here your number is linked to illegal activity,     1
Congratulations you won a lottery claim now          ,     1
This is tech support fix your computer immediately   ,     1
Hello are we still meeting tomorrow                  ,     0
Can you send me the notes from class                 ,     0
Your order has been delivered successfully           ,     0
Let’s catch up later today                           ,     0
Reminder your appointment is at 3 PM tomorrow        ,     0
Update your payment information to avoid service disruption, 1  
Free gift card waiting for you click here            ,     1
Meeting rescheduled to next week                    ,     0
